seqN,TreeNo,DeathAge,x,y,z,Year,Age,H,HB,GB,G0.1H,G0,G0.3,G1.3,G2.3,G3.3,G4.3,G5.3,G6.3,G7.3,G8.3,G9.3,G10.3,G11.3,G12.3,G13.3,G14.3,G15.3,G16.3,Vs
243,97,34,7.5,6.634733765,5.75,1978,22,7.34,3.66,13.9,20.7,25.9,21.2,18.7,16.4,14.3,11.6,8.4,3.8,0.1,0,0,0,0,0,0,0,0,0,11.42
244,98,34,7.83,7.40460788,6.4,1978,22,6.06,3.77,19.9,27.2,41.6,29.4,25.7,23.6,21.1,18.5,14,0,0,0,0,0,0,0,0,0,0,0,23.67
245,99,29,8.83,6.782366345,5.7,1978,22,6.53,3.61,11.6,16.6,22.9,18.1,15.9,14,12.1,9.4,5,0.9,0,0,0,0,0,0,0,0,0,0,7.96
246,100,30,9.83,7.493846113,6.1,1978,22,6.3,3.08,12.1,18.4,29.1,20.2,16.8,14.5,11.5,7.7,3.1,0,0,0,0,0,0,0,0,0,0,0,8.64
247,101,100,11.5,6.821196586,5.25,1978,22,10.05,3.42,31.4,38.5,80,44.3,36.3,33.8,31.6,28.5,25.6,20,14.8,10.2,2.4,0,0,0,0,0,0,0,62.78
248,102,100,9.83,6.695210603,5.4,1978,22,7.41,3.87,15.8,24,43.8,27.2,22,19.9,17.5,14.2,10.2,4.9,0.5,0,0,0,0,0,0,0,0,0,18.18
249,103,100,10.83,3.41351282,2.8,1978,22,9.43,3.72,22.2,27.2,36.2,29.1,26.9,25.5,23.2,20.6,18.1,15.3,9.4,4.2,0.5,0,0,0,0,0,0,0,29.85
250,104,33,9.83,5.633025374,4.6,1978,22,7.88,4.73,14.8,27.2,36.8,34.3,25,23.1,19.5,16.6,12.2,7.6,1.6,0,0,0,0,0,0,0,0,0,23.8
251,105,28,8.5,5.748942512,4.8,1978,22,6.35,3.66,11.7,18.1,29.6,19.8,17.1,15.3,13.1,9.5,4.9,0.2,0,0,0,0,0,0,0,0,0,0,9.54
252,106,100,7.5,5.572548536,4.7,1978,22,9.39,4.65,19.3,26,40.6,29.6,25.7,24.5,22,19.7,17.1,13,8.2,3.2,0.3,0,0,0,0,0,0,0,27.76
253,107,100,6.5,4.861068769,4.25,1978,22,9.1,4.57,18.5,25.8,36,28,25.5,23.2,21.4,19.1,16.3,12.7,7.7,2.9,0,0,0,0,0,0,0,0,25.53
254,108,100,7.5,4.773913026,4.2,1978,22,9.99,5.38,19.7,28.4,45.1,30.1,27.8,26.6,24.8,22.4,19.6,16.5,11.8,6.9,2.1,0,0,0,0,0,0,0,34.52
255,109,100,9.17,5.155462373,4.33,1978,22,8.15,4.52,14.6,20.3,30,21.6,20.2,18.8,16.7,15.1,11.6,7.9,3.2,0,0,0,0,0,0,0,0,0,15.21
256,110,100,10.83,4.483684403,3.66,1978,22,9.52,5.12,19,28.3,38.9,30.2,28.8,25.8,23.8,21.9,18.7,15.5,10,4.5,0.8,0,0,0,0,0,0,0,32.4
257,111,33,11.83,3.861442869,3.1,1978,22,7,4.18,9.8,16.7,29.3,17.9,15.2,13.6,11.4,9.5,6.1,2.1,0,0,0,0,0,0,0,0,0,0,8.07
258,112,30,9.83,4.035754354,3.5,1978,22,7.97,3.3,17.4,22.7,36.8,28,20.9,19.4,17.4,14.3,10.7,7.1,2.7,0,0,0,0,0,0,0,0,0,17.53
259,113,100,8.83,3.859360378,3.4,1978,22,9.71,3.26,26.4,30.9,58.2,35.6,29.1,27.8,25.9,23.6,20.3,15.8,11.8,7.3,1.2,0,0,0,0,0,0,0,40.06
260,114,100,7.5,3.975277516,3.6,1978,22,8.62,3.45,25.5,31.3,40.7,34.1,30.4,28.6,25.4,22.4,17.3,11.1,6,1.7,0,0,0,0,0,0,0,0,34.64
261,115,100,6.5,3.790897186,3.4,1978,22,9.16,3.74,19.1,25.1,39.8,29.4,24.4,22.6,20.1,17.8,14.1,11,7.5,3.4,0,0,0,0,0,0,0,0,23.97
262,116,100,5.5,4.149589002,3.6,1978,22,8.54,2.86,22.7,25.7,48.5,29,25.2,23.6,21.5,19.4,15.2,11,5.8,0.9,0,0,0,0,0,0,0,0,26.39
263,117,100,4.5,3.701658953,3.3,1978,22,8.94,3.09,23.6,29.3,55.1,37.5,27.9,25,22.9,20.5,16.5,12.1,6.8,1.9,0,0,0,0,0,0,0,0,33.3
264,118,100,3.17,3.817576091,4,1978,22,6.74,2.34,19.6,27.4,47,31.2,24.8,19.7,15.9,10.3,4.6,1.1,0,0,0,0,0,0,0,0,0,0,18.69
265,119,33,2.5,3.077334928,3.9,1978,22,5.54,2.12,17.4,21.3,38,22.5,19.2,16,9.9,4.3,0.8,0,0,0,0,0,0,0,0,0,0,0,10.24
266,120,36,1.17,2.658166274,4.33,1978,22,4.71,1.08,11.8,13.7,26,16.6,11.2,8.5,5,1.2,0,0,0,0,0,0,0,0,0,0,0,0,4.01
267,121,40,0.5,2.988096695,4.9,1978,22,5.65,2.56,13.1,18.2,29,19.8,16.6,13.9,10.6,5.6,1,0,0,0,0,0,0,0,0,0,0,0,7.91
268,122,100,0.83,1.36206428,3.4,1978,22,7.47,1.97,29.6,36.3,51.4,41.3,32.8,28,21.8,16.9,12.1,5.7,0.8,0,0,0,0,0,0,0,0,0,34.26
269,123,100,2.5,1.743613627,2.67,1978,22,6.01,1.33,23.6,23.9,35,26.7,23.3,19.6,14.1,8.6,3.3,0,0,0,0,0,0,0,0,0,0,0,14.76
270,124,36,4.17,1.86959961,1.8,1978,22,5.92,2.08,18.9,24.7,44.9,27.8,20.9,17.7,13.1,7.7,2.6,0,0,0,0,0,0,0,0,0,0,0,14.25
271,125,100,5.17,2.844629095,2.5,1978,22,7.72,3.23,20,26.1,50.1,28.2,24.1,22.5,19.8,17.5,12.4,5.4,1.6,0,0,0,0,0,0,0,0,0,22.79
272,126,100,5.5,1.753682472,1.75,1978,22,9.21,2.43,32.1,32.9,53.7,36.1,32.5,31.5,29.6,26.7,22.1,15.9,9.6,4.1,0,0,0,0,0,0,0,0,45.87
273,127,28,6.5,2.992261676,2.75,1978,22,6.1,3.46,10.6,17.4,26.6,20,15.2,13.4,11.1,7.8,2.3,0,0,0,0,0,0,0,0,0,0,0,7.68
274,128,100,6.5,2.193626166,2.2,1978,22,8.78,3.28,20.8,26.1,34.9,28,24.8,23,20.8,17.7,14.4,10.9,6.1,1.4,0,0,0,0,0,0,0,0,23.45
275,129,24,8.83,3.060724868,2.8,1978,22,5.49,2.51,14.5,18.5,30.3,19.6,17.4,14.5,11.3,3.6,0.6,0,0,0,0,0,0,0,0,0,0,0,8.29
276,130,100,7.83,1.550609591,1.7,1978,22,9.4,3.68,30,37,59.6,42.7,36.3,33.2,31.8,28.2,22.9,17.9,13.2,6.4,0.6,0,0,0,0,0,0,0,55.74
277,131,36,9.83,3.237118844,2.8,1978,22,7.83,3.47,20.1,28.8,53.4,31.6,25.7,22.6,19.5,15.4,10.4,5.9,1.7,0,0,0,0,0,0,0,0,0,23.96
278,132,100,11.5,3.091568754,2.6,1978,22,9.06,4.4,20,27.6,39.9,31.2,26.7,25.7,23.6,20.1,16.6,12.5,8.1,2.1,0,0,0,0,0,0,0,0,29.5
279,133,100,11.5,2.029383525,1.95,1978,22,8.92,3.95,20.7,27.4,48.9,32.6,26.3,24.5,22.1,20.2,16.1,12,5.4,1.5,0,0,0,0,0,0,0,0,29.22
280,134,25,10.5,1.581453476,1.55,1978,22,5.86,3.52,9.8,18.7,23.2,18.5,15.3,13.1,11,6.6,2.2,0,0,0,0,0,0,0,0,0,0,0,6.98
281,135,100,9.17,0.363649312,0.75,1978,22,9.17,4.96,17.7,26,40.5,26.9,25,23.2,21.5,19.5,16.4,12.8,7.4,2.7,0,0,0,0,0,0,0,0,25.59
282,136,100,10.17,0.548029643,0.75,1978,22,8.43,4.41,18.1,27.9,43.5,30.4,25.9,23.8,21.5,18.7,14.5,10.5,4.9,0.8,0,0,0,0,0,0,0,0,26.09
283,137,25,11.5,0.695662223,0.8,1978,22,6.45,3.77,9.2,16.4,30.8,18.4,15.3,12.9,10.5,6.6,2.7,0.4,0,0,0,0,0,0,0,0,0,0,7.35
284,138,35,11.17,-0.074211891,0.2,1978,22,7.74,3.53,16.4,21.1,29,22.2,20.6,18.7,16.8,14.2,10.7,6.9,1.2,0,0,0,0,0,0,0,0,0,14.86
285,139,21,9.17,1.162284822,1.25,1978,22,4.5,0,0,11.2,16.3,11.5,9.6,7.8,4.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,NA
286,140,36,7.83,0.751974081,1.1,1978,22,8.26,4.5,15.4,22.4,35.6,24.4,20.7,19.3,17.9,15.5,11.9,8.5,4.1,0,0,0,0,0,0,0,0,0,17.24
287,141,28,6.83,0.839129824,1.1,1978,22,6.5,2.32,16.3,21,36.7,22.6,18.3,16.2,13.5,8,4.6,0.8,0,0,0,0,0,0,0,0,0,0,11.13
288,142,26,7.17,0.010861361,0.5,1978,22,6.85,3.04,12.9,18.5,27.2,22.4,17.5,14.5,12.1,9,5.5,1.6,0,0,0,0,0,0,0,0,0,0,9.65
289,143,100,5.83,0.654749493,0.85,1978,22,7.04,3.25,13.4,18.8,31.9,22.3,17.1,15.1,12.8,9.9,6.2,3.5,0,0,0,0,0,0,0,0,0,0,10.39
290,144,36,4.5,0.770666631,0.85,1978,22,7.08,1.79,26.6,31.9,48,34.8,28.2,24.5,20.1,15,8,2.5,0,0,0,0,0,0,0,0,0,0,25.67
291,145,100,3.17,0.359484332,1.15,1978,22,6.56,2.47,18.9,25.8,37.6,28.1,22.6,19.5,16,10.7,6.6,1.4,0,0,0,0,0,0,0,0,0,0,16.17
292,146,38,1.5,0.505034423,2.3,1978,22,5.19,1.01,18,20.5,33.2,22.9,17.2,13.3,8.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,8.43
293,1,100,2.83,15.82674169,14.5,1979,23,7.67,3.1,22,27.8,43.2,31.3,28.1,24.7,21.3,17.1,13.7,7.5,1.4,0,0,0,0,0,0,0,0,0,26.32
294,2,100,1.5,15.40757304,14.33,1979,23,8.85,3.04,31.1,37,56.8,39.9,35.4,33.2,29.7,24.8,19.8,13.2,8.1,2.1,0,0,0,0,0,0,0,0,47.8
295,3,100,0.5,14.16899384,13.4,1979,23,8.68,4.25,22.1,29.4,48.6,31.8,28.4,26.3,23.9,20.9,17.3,12.6,5.9,1.1,0,0,0,0,0,0,0,0,31.92
296,4,32,1.5,14.34538781,13.45,1979,23,6.82,3.28,15.3,21.9,31.1,23.1,20.2,17.2,14.5,11,7.1,1.8,0,0,0,0,0,0,0,0,0,0,12.57
297,5,32,2.5,15.05686758,14,1979,23,4.51,2.17,9.4,15.1,23.6,16.1,11.4,8.5,4.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3.76
298,6,100,3.83,15.73958595,14.3,1979,23,7.64,2.6,23.9,29.4,57.4,33.4,27.6,25,21.6,17.4,12.4,6.6,1.7,0,0,0,0,0,0,0,0,0,28.44
299,7,100,4.5,15.14610581,13.7,1979,23,7.37,2.32,23.7,27.6,41.9,29.4,24.8,22.9,19.2,15.9,10,4.9,0.3,0,0,0,0,0,0,0,0,0,21.57
300,8,100,5.83,15.56527447,13.85,1979,23,7.57,3.35,20.3,26.8,42.4,31.4,25.4,24,19.7,15.8,11.9,6.7,0.9,0,0,0,0,0,0,0,0,0,23.53
301,9,100,7.83,15.39096298,13.6,1979,23,9.35,3.36,26.7,33.3,54.9,36.6,32.4,31.6,26.9,23.8,19.2,14,9.1,4,0.5,0,0,0,0,0,0,0,42.37
302,10,40,9.17,15.537724,13.3,1979,23,6.31,3.62,12.5,19.8,30.8,21,18.3,16.1,12.9,9.6,3.4,0.1,0,0,0,0,0,0,0,0,0,0,10.29
303,11,100,10.83,15.12949575,12.25,1979,23,7.99,3.21,20.1,26.5,41.2,29,24.7,21.4,19.7,17,12.9,9.1,3.8,0,0,0,0,0,0,0,0,0,22.33
304,12,32,11.5,15.0711014,12.1,1979,23,7.85,3.76,16,20.1,26.1,21.9,19.5,17.4,15.8,13.4,10.7,5.7,1.4,0,0,0,0,0,0,0,0,0,13.32
305,13,100,11.5,13.7373801,10.9,1979,23,9.61,4.82,19.5,28.5,47.3,30.4,27.6,25.3,23.3,20.7,17.3,15,12.4,7.3,2.2,0,0,0,0,0,0,0,32.18
306,14,28,10.5,13.82453585,11.3,1979,23,5.6,2.65,10.6,13.6,19.2,14.5,12.5,11,8.9,5.1,0.9,0,0,0,0,0,0,0,0,0,0,0,4.58
307,15,35,9.5,14.44677738,12.15,1979,23,6.74,3.33,15.8,21.6,31,22,20.2,18.2,15.5,12.4,7.9,1.6,0,0,0,0,0,0,0,0,0,0,13.18
308,16,26,9.17,14.47553877,12.25,1979,23,3.89,2.46,5.9,9.7,15.5,9.9,8,6.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
309,17,100,6.83,14.14439742,12.45,1979,23,8.42,3.58,21.2,27.6,43.5,29,27.9,23.9,21,17.9,13.6,10.5,4.6,0.6,0,0,0,0,0,0,0,0,25.93
310,18,100,4.5,14.3474703,13,1979,23,6.49,2.29,16.3,19.6,27,21.1,18.4,16.2,13.5,9.9,4.7,0.6,0,0,0,0,0,0,0,0,0,0,10.36
311,19,27,3.5,13.63599053,12.5,1979,23,5.51,2.87,9.4,15.2,26.9,17.1,13.2,11.4,8.2,4.4,0.6,0,0,0,0,0,0,0,0,0,0,0,5.49
312,20,100,2.5,13.45959656,12.5,1979,23,7.7,3.63,21.6,28.1,37.8,31,28.2,25.5,22.6,18.7,12.7,7.2,1.3,0,0,0,0,0,0,0,0,0,26.73
313,21,100,1.5,13.5467523,12.7,1979,23,8.45,4.01,20.9,28.6,42.5,30.2,26.8,25.2,21.9,19,15.2,10.4,4.8,0.3,0,0,0,0,0,0,0,0,27.22
314,22,100,0.17,13.39911972,12.85,1979,23,9.05,3.9,25.3,33.8,56.5,37.7,32.5,29.6,26.9,22.6,18.7,14.4,9.2,2.9,0,0,0,0,0,0,0,0,41.52
315,23,34,0.17,12.32894814,12.05,1979,23,9.22,3.91,28.4,35,56.3,42.9,34.5,32,29.4,26.3,21.6,16.2,11.4,5.5,0,0,0,0,0,0,0,0,50.34
316,24,100,1.5,12.213031,11.6,1979,23,8.65,4.22,20.5,28.4,49.1,31.4,27.6,25.8,23.4,20.1,16,11.4,6.7,1.3,0,0,0,0,0,0,0,0,30.35
317,25,100,2.5,12.66096105,11.7,1979,23,8.45,4.08,21.1,30,38.8,32,28.8,26,23.3,19.4,15.6,11.2,5.4,0.7,0,0,0,0,0,0,0,0,29.56
318,26,38,3.83,12.80859363,11.66,1979,23,7.73,4.48,13.7,21.8,33.4,23.9,20.9,18.7,16.4,14,10.9,7.2,1,0,0,0,0,0,0,0,0,0,15.61
319,27,100,4.5,12.48664956,11.25,1979,23,7.85,4.09,15.4,22,35.4,23.8,21.7,19,17,14.4,10.4,7.1,2.9,0,0,0,0,0,0,0,0,0,16.3
320,28,100,4.83,13.5200734,12.15,1979,23,8.11,4.34,15.6,24.1,31.3,26.7,22.6,21.3,18.4,16.3,12.5,8.4,4.3,0,0,0,0,0,0,0,0,0,19.26
321,29,21,NA,NA,NA,1979,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
322,30,100,7.17,13.58766503,11.85,1979,23,8.89,3.73,22.4,27.7,36.9,28.8,27.3,25.2,22.8,20.3,16.4,12.1,7.3,1.5,0,0,0,0,0,0,0,0,28.06
323,31,100,9.17,13.41335355,11.25,1979,23,9.49,4.8,22.3,31.5,45.6,34.1,30.3,28.1,25.7,23.1,18.9,15.1,10.6,4.7,0.6,0,0,0,0,0,0,0,37.32
324,32,100,11.5,13.21028067,10.5,1979,23,9.08,4.57,19,27,37.5,28.1,26.7,24.9,22.9,20.1,16.3,12.4,8,2.7,0,0,0,0,0,0,0,0,27.65
325,33,100,9.5,12.84950636,10.7,1979,23,10.31,3.67,25.4,30.4,43.3,32.8,30.4,28,25.8,22.4,20.2,16.2,12.4,8.4,3.4,0.1,0,0,0,0,0,0,37.9
326,34,21,NA,NA,NA,1979,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
327,35,36,7.83,12.19642094,10.5,1979,23,7.56,3.67,15.9,22.3,37.9,23.3,21.8,18.9,16.8,13.7,10.1,4.9,0.6,0,0,0,0,0,0,0,0,0,15.89
328,36,100,5.83,12.90581822,11.5,1979,23,8.71,3.86,21.3,27.2,43.1,29.8,26.2,24.7,22.3,19.6,15.8,11.5,6.2,1.6,0,0,0,0,0,0,0,0,27.5
329,37,100,5.83,11.83564663,10.5,1979,23,7.99,4.15,15.2,23.9,34.6,24.8,21.4,19.8,17,14.5,10.4,6.5,2,0,0,0,0,0,0,0,0,0,16.57
330,38,100,6.5,11.77725229,10.3,1979,23,9.45,3.88,25.1,30.5,46.6,34.6,29.5,28.3,25.3,22.2,19.3,14.5,8.9,4.9,0.6,0,0,0,0,0,0,0,36.56
331,39,100,5.17,11.62961971,10.3,1979,23,8.2,4.11,16.6,24.9,34.8,26.7,23.7,21.9,19,15.5,11.8,8.5,3.1,0,0,0,0,0,0,0,0,0,19.95
332,40,100,4.17,11.98032517,10.8,1979,23,8.78,4.95,15.2,23,31.7,24.9,22.7,20.8,18.9,16.3,13.9,10.5,6.2,1.3,0,0,0,0,0,0,0,0,19.64
333,41,100,3.83,11.7464084,10.66,1979,23,8.76,4.09,22.9,29.4,48.9,33.1,28.1,26.5,23.3,20.9,17.2,15.9,9.9,2.9,0,0,0,0,0,0,0,0,33.38
334,42,100,2.83,11.29847835,10.33,1979,23,8.6,3.26,21.6,25.9,41.3,28.7,24.9,24,21.4,19.1,15.4,11.2,6,0.9,0,0,0,0,0,0,0,0,25.54
335,43,100,2.17,11.62753722,10.8,1979,23,7.89,2.84,20.9,25.6,37.5,27.6,23.7,21.4,18.7,15.5,12,7.2,2.4,0,0,0,0,0,0,0,0,0,20.02
336,44,100,1.83,11.12208438,10.45,1979,23,7.01,2.7,17.3,22.4,35.1,24.1,21.3,18.4,15.5,11.3,7.9,1.7,0,0,0,0,0,0,0,0,0,0,14.22
337,45,32,0.5,11.23800151,11.2,1979,23,6.63,2.8,15.7,21.1,29.2,22.9,18.8,16.5,14.2,10,5.5,0.6,0,0,0,0,0,0,0,0,0,0,11.35
338,46,100,1.17,9.845885865,9.8,1979,23,6.85,1.45,20,21.8,34.8,24.2,20.1,17.8,14.4,11.4,6.3,0.9,0,0,0,0,0,0,0,0,0,0,13.22
339,47,100,0.5,9.105644702,9.6,1979,23,7.37,3.63,16.5,22.8,36.5,24.6,21.1,19.2,16.8,12.8,8.3,4.8,0.6,0,0,0,0,0,0,0,0,0,15.48
340,48,100,2.5,9.729968727,9.1,1979,23,8.63,3.81,19.6,27,38.4,29.8,25.1,23.1,20.9,18.1,14.9,10.3,5.4,1.3,0,0,0,0,0,0,0,0,24.55
341,49,100,2.83,9.174107895,8.55,1979,23,7.85,3.29,25.8,31.6,48.8,35.5,30.2,27.4,24.9,20.4,14.2,6.6,2,0,0,0,0,0,0,0,0,0,32.81
342,50,33,3.5,10.44144849,9.5,1979,23,7.08,3.86,13.9,21.5,29.5,24.2,21,17.5,15.6,11.9,7.9,2.6,0,0,0,0,0,0,0,0,0,0,13.62
343,51,100,4.17,11.18168966,10.1,1979,23,8.11,3.78,21.9,28.7,40.9,31,27.5,26.3,24.4,20,16.5,9.1,3.5,0,0,0,0,0,0,0,0,0,29.31
344,52,100,4.5,10.09074303,9.1,1979,23,7.7,3.86,16.1,24.6,39.4,25.8,22.4,20.3,17.5,14.4,10.5,5.8,0.9,0,0,0,0,0,0,0,0,0,17.8
345,53,36,4.83,10.86061715,9.75,1979,23,7.39,3.68,14.8,21,25.8,22.2,20.1,18.7,15.4,12.5,7.6,3.4,0.6,0,0,0,0,0,0,0,0,0,13.03
346,54,100,6.17,10.74382845,9.45,1979,23,8.22,4.85,16.1,23.9,40.5,26.4,22.5,21.7,19.4,17.2,13.7,9,4.2,0,0,0,0,0,0,0,0,0,20.94
347,55,27,7.83,10.86269964,9.3,1979,23,6.25,4.04,7.9,17.9,29.6,18,14.2,11.9,10.2,7.1,3.5,0,0,0,0,0,0,0,0,0,0,0,6.76
348,56,33,8.83,11.84571548,10.05,1979,23,7.48,3.8,17.2,24.9,38.1,26.6,23.9,21.6,18.6,15.3,10.8,5,0.6,0,0,0,0,0,0,0,0,0,19.4
349,57,100,10.83,12.73358922,10.25,1979,23,9.37,4.51,20.6,30.8,46,36.2,29.3,26.9,24.4,22,17.8,12.3,7.8,4.7,0,0,0,0,0,0,0,0,34.87
350,58,29,11.83,11.58424825,9.25,1979,23,7.3,3.96,11.3,17.3,28.5,18,15.9,14.5,12.7,10.1,7.1,3.8,0,0,0,0,0,0,0,0,0,0,8.94
351,59,100,11.17,10.57159946,8.33,1979,23,8.95,4.14,21.5,27.3,43,29.7,27.2,26.4,23,19.7,17,12.8,8.2,2.5,0,0,0,0,0,0,0,0,29.68
352,60,21,9.83,10.95992423,9.1,1979,23,2.65,0,0,19,21.4,18.1,15.6,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
353,61,100,8.83,11.04707997,9.3,1979,23,9.1,3.92,22.5,27,46.7,28.9,26.2,25.6,23.2,20.3,17.4,13.2,7.8,3.2,0,0,0,0,0,0,0,0,29.51
354,62,100,8.83,9.976908385,8.45,1979,23,8.99,3.45,22.4,26.6,42.7,30.1,25.6,24.8,22.5,20,16.9,13.4,9,2.5,0,0,0,0,0,0,0,0,28.57
355,63,27,7.83,10.3356002,8.85,1979,23,6.7,3.82,8.9,15.4,23.2,16,13.6,12,10.3,7.4,4.1,1.3,0,0,0,0,0,0,0,0,0,0,6.01
356,64,100,6.5,9.916431548,8.7,1979,23,9.15,4.8,19,27.5,40.3,29.1,26.5,25.5,22.5,20.4,16.8,12.1,7.4,2.8,0,0,0,0,0,0,0,0,28.32
357,65,27,5.83,9.439740104,8.4,1979,23,6.71,4.17,11.2,18,30.3,18.5,16.4,15.8,13,10.7,5.4,1.7,0,0,0,0,0,0,0,0,0,0,9.5
358,66,100,4.83,9.263346128,8.33,1979,23,7.8,4.18,15.7,21.8,31.5,23.4,20.3,18.9,17.1,14.4,11.8,8.4,1.6,0,0,0,0,0,0,0,0,0,15.8
359,67,31,4.17,8.522233408,7.75,1979,23,7.11,3.98,10.9,17.2,26.2,18.9,16.2,13.3,11.3,9.2,6.5,2.7,0,0,0,0,0,0,0,0,0,0,8.23
360,68,36,3.83,8.016780569,7.25,1979,23,7.73,3.59,16.2,21.8,27.6,23.5,20.9,19.5,17.5,14.4,10.9,7,2.2,0,0,0,0,0,0,0,0,0,15.72
361,69,100,2.83,7.576836875,7.2,1979,23,8.01,3.54,22,27.9,46.2,31.7,26.3,24.8,21.2,18.6,13,8.1,2.8,0,0,0,0,0,0,0,0,0,26.39
362,70,100,1.83,7.927542336,8,1979,23,7.42,2.84,22.1,28.5,46.1,29.9,25.1,22.2,19.7,15.4,11.9,5.6,0.9,0,0,0,0,0,0,0,0,0,22.45
363,71,100,0.5,6.446188454,7.8,1979,23,9.2,2.51,30.7,34.4,53.4,38.9,33,31,27.8,24.9,19.7,14.8,8.6,4,0,0,0,0,0,0,0,0,44.15
364,72,100,1.5,6.62258243,7.3,1979,23,5.37,1.87,19.2,23,35.2,24,20.8,17.6,12.1,4.5,0.6,0,0,0,0,0,0,0,0,0,0,0,11.69
365,73,35,2.5,7.070512479,7,1979,23,5.45,1.7,14.3,20.6,35.4,26.1,14.2,11.9,9.1,5,0.9,0,0,0,0,0,0,0,0,0,0,0,8.61
366,74,31,4.5,7.694836503,6.85,1979,23,7.28,3.32,14.4,22.3,26.2,25.5,18.3,16.3,14.1,12,7.9,2.9,0,0,0,0,0,0,0,0,0,0,12.24
